YearHeader,Station,Purpose,Date,Stlkey,Year,O32_count,O32_weight,U32_weight,U32_count,Effective_skates_hauled,Max_depth_fm,Min_depth_fm,AvgNo_hook_skate,No_skates_hauled,Statarea,Year_Created,Total_halibut_count,Total_net_weight,Lat _Grid_target,Lon_Grid_target,Lat_fished,Lon_fished,Number_Records
1998,4212,Standard grid,26-Aug-98,19980141,1998,125,"2,577",676,74,6.75,51,50,84,8,260,1998,199,"3,253",58.5,-150.167,58 30.11,150 09.68,1
1998,4329,Standard grid,3-Sep-98,19981152,1998,33,884,107,12,7.03,37,32,100,7,270,1998,45,991,57.667,-151.717,57 40.11,151 42.88,1
1998,5112,Standard grid,2-Aug-98,19980518,1998,106,"2,482","1,799",233,6.96,48,47,99,7,310,1998,339,"4,281",55.333,-157.517,55 19.94,157 31.00,1
1998,4325,Standard grid,2-Sep-98,19981146,1998,130,"3,312",682,80,7.03,45,42,100,7,270,1998,210,"3,994",57.5,-151.083,57 30.01,151 05.08,1
1998,4316,Standard grid,28-Aug-98,19981145,1998,61,"1,657",738,88,6.89,43,36,98,7,270,1998,149,"2,395",57.167,-151.683,57 10.20,151 41.09,1
1998,4295,Standard grid,31-Jul-98,19981110,1998,163,"4,247","1,015",116,6.96,35,30,99,7,280,1998,279,"5,262",56.667,-151.95,56 40.04,151 57.13,1
1998,4357,Standard grid,10-Jul-98,19981076,1998,136,"2,925",712,83,6.89,88,60,98,7,261,1998,219,"3,638",59,-152.117,58 59.94,152 06.62,1
1998,4311,Standard grid,21-Aug-98,19981138,1998,154,"5,518",258,29,6.89,40,40,98,7,280,1998,183,"5,776",57,-152.283,56 59.97,152 17.09,1
1998,4288,Standard grid,3-Aug-98,19981117,1998,118,"2,982","1,549",186,7.03,36,29,100,7,280,1998,304,"4,532",56.333,-153.433,56 19.80,153 26.02,1
1998,5155,Standard grid,13-Jun-98,19980564,1998,169,"4,965",820,106,7.03,57,55,100,7,310,1998,275,"5,785",54.833,-158.7,54 50.25,158 41.70,1
1998,4253,Standard grid,24-Jul-98,19980448,1998,181,"5,215",330,36,6.82,53,49,98,7,260,1998,217,"5,545",57.833,-150.467,57 50.06,150 27.88,1
1998,5219,Standard grid,9-Jul-98,19980598,1998,203,"4,591","1,241",153,7.03,55,50,100,7,330,1998,356,"5,832",54.667,-160.717,54 39.66,160 42.99,1
1998,4322,Standard grid,2-Sep-98,19981148,1998,107,"2,681",952,108,6.96,35,33,99,7,270,1998,215,"3,633",57.333,-151.683,57 20.19,151 41.05,1
1998,5153,Standard grid,14-Jun-98,19980568,1998,204,"4,172","1,413",176,7.03,86,55,100,7,310,1998,380,"5,586",54.833,-158.117,54 49.99,158 06.86,1
1998,4197,Standard grid,15-Aug-98,19980123,1998,151,"3,122","1,389",160,6.75,64,62,84,8,250,1998,311,"4,511",58.167,-149.217,58 10.18,149 12.98,1
1998,4247,Standard grid,30-Jul-98,19980467,1998,119,"3,149",309,34,6.96,47,45,99,7,270,1998,153,"3,458",57.667,-150.783,57 40.04,150 47.00,1
1998,5210,Standard grid,24-Jul-98,19980629,1998,217,"5,106","1,305",162,7.1,39,36,101,7,330,1998,379,"6,411",54.5,-161.583,54 30.00,161 34.92,1
1998,4274,Standard grid,5-Aug-98,19980473,1998,77,"3,011",183,20,6.75,35,23,97,7,270,1998,97,"3,194",58.167,-151.733,58 10.00,151 44.03,1
1998,5108,Standard grid,24-Jul-98,19980501,1998,200,"4,704","1,020",127,7.03,58,56,100,7,310,1998,327,"5,724",55.167,-158.117,55 10.14,158 07.00,1
1998,5117,Standard grid,10-Aug-98,19980530,1998,285,"8,906",670,81,6.96,51,50,99,7,300,1998,366,"9,575",55.5,-156.917,55 30.17,156 54.98,1
1998,5111,Standard grid,1-Aug-98,19980517,1998,83,"1,900","1,483",207,6.96,50,50,99,7,310,1998,290,"3,383",55.333,-157.233,55 20.04,157 13.98,1
1998,4372,Standard grid,1-Jul-98,19981068,1998,61,"1,166","1,422",180,6.89,32,30,98,7,261,1998,241,"2,588",59.5,-152.483,59 30.05,152 29.31,1
1998,4361,Standard grid,9-Jul-98,19981074,1998,79,"1,411",485,60,7.03,81,72,100,7,261,1998,139,"1,895",59.167,-152.133,59 09.69,152 07.97,1
1998,5105,Standard grid,1-Aug-98,19980516,1998,83,"1,706",783,96,6.96,65,60,99,7,310,1998,179,"2,489",55.167,-157.233,55 09.82,157 14.00,1
1998,3025,Standard grid,26-Jun-98,19981169,1998,108,"2,520","1,554",193,7.03,74,71,100,7,140,1998,301,"4,074",54.833,-133.717,54 50.14,133 42.72,1
1998,5152,Standard grid,30-Jun-98,19980581,1998,209,"4,338","1,260",160,7.03,52,48,100,7,320,1998,369,"5,598",54.667,-160.15,54 40.00,160 08.88,1
1998,5010,Standard grid,1-Jul-98,19980407,1998,173,"5,669",500,58,6.89,52,50,99,7,290,1998,231,"6,168",56.167,-154.483,56 09.91,154 28.99,1
1998,5130,Standard grid,4-Aug-98,19980526,1998,192,"3,772",983,123,6.96,58,54,99,7,300,1998,315,"4,754",55.833,-157.2,55 50.17,157 12.04,1
1998,5118,Standard grid,9-Aug-98,19980528,1998,121,"2,262",875,106,7.03,49,48,100,7,300,1998,227,"3,137",55.5,-157.217,55 30.12,157 13.00,1
1998,4309,Standard grid,28-Aug-98,19981144,1998,166,"4,929",376,45,6.96,46,39,99,7,270,1998,211,"5,305",57,-151.667,57 00.02,151 39.83,1
1998,5216,Standard grid,15-Jul-98,19980610,1998,95,"2,025",543,69,7.03,53,43,100,7,340,1998,164,"2,568",54.5,-163.883,54 30.15,163 53.11,1
1998,4356,Standard grid,9-Jul-98,19981073,1998,209,"5,012",581,72,6.96,91,73,99,7,260,1998,281,"5,593",59,-151.8,59 00.11,151 48.62,1
1998,5114,Standard grid,24-Jul-98,19980500,1998,179,"3,929","1,046",127,6.89,63,59,98,7,310,1998,306,"4,976",55.333,-158.1,55 19.86,158 06.03,1
1998,3047,Standard grid,16-Jun-98,19980716,1998,66,"2,012",919,119,6.67,44,38,83,8,151,1998,185,"2,931",55.333,-133.733,55 19.83,133 44.00,1
1998,4269,Standard grid,25-Jul-98,19980453,1998,100,"2,338",138,16,6.89,100,65,99,7,260,1998,116,"2,476",58.167,-150.167,58 09.98,150 09.91,1
1998,4293,Standard grid,3-Aug-98,19981118,1998,121,"2,437","1,137",138,7.1,50,47,101,7,280,1998,259,"3,574",56.5,-153.45,56 29.80,153 27.34,1
1998,5124,Standard grid,9-Aug-98,19980527,1998,59,"1,624","1,359",193,6.96,49,47,99,7,300,1998,252,"2,983",55.667,-157.217,55 40.03,157 13.00,1
1998,4208,Standard grid,14-Aug-98,19980119,1998,168,"4,093",857,106,6.59,62,61,82,8,250,1998,274,"4,949",58.5,-148.883,58 30.05,148 53.67,1
1998,5125,Standard grid,2-Aug-98,19980520,1998,207,"4,034","1,063",132,7.03,56,55,100,7,300,1998,339,"5,097",55.667,-157.5,55 40.25,157 29.87,1
1998,5222,Standard grid,7-Jul-98,19980593,1998,213,"7,032",739,96,6.96,41,29,99,7,330,1998,309,"7,771",54.667,-161.583,54 40.03,161 34.97,1
1998,5220,Standard grid,8-Jul-98,19980595,1998,198,"4,799",917,119,7.03,53,46,100,7,330,1998,317,"5,716",54.667,-161.017,54 40.04,161 01.17,1
1998,4326,Standard grid,2-Sep-98,19981147,1998,76,"1,389",696,81,6.96,75,43,99,7,270,1998,157,"2,086",57.5,-151.383,57 30.17,151 23.06,1
1998,5132,Standard grid,3-Aug-98,19980521,1998,196,"4,171",662,83,6.96,69,59,99,7,310,1998,279,"4,834",55.833,-157.8,55 49.78,157 48.02,1
1998,4198,Standard grid,22-Aug-98,19980138,1998,149,"2,397","1,461",167,6.59,71,58,83,8,260,1998,316,"3,858",58.167,-149.533,58 09.48,149 32.17,1
1998,4275,Standard grid,10-Aug-98,19980481,1998,14,277,104,11,6.96,37,35,100,7,260,1998,25,380,58.333,-150.8,58 20.04,150 47.80,1
1998,5120,Standard grid,26-Jul-98,19980507,1998,131,"2,705","1,151",144,6.96,55,54,99,7,310,1998,275,"3,856",55.5,-157.8,55 29.88,157 47.99,1
1998,4201,Standard grid,13-Aug-98,19980116,1998,185,"4,183","1,085",130,6.67,71,69,83,8,250,1998,315,"5,268",58.333,-148.9,58 20.22,148 53.66,1
1998,5164,Standard grid,3-Jul-98,19980585,1998,198,"3,798",600,74,6.89,77,48,99,7,320,1998,272,"4,398",55,-160.45,55 00.03,160 27.11,1
1998,5214,Standard grid,14-Jul-98,19980606,1998,194,"4,318",636,77,7.03,50,36,100,7,340,1998,271,"4,954",54.5,-163.3,54 30.09,163 18.18,1
1998,5165,Standard grid,3-Jul-98,19980587,1998,221,"6,457","1,070",131,6.96,53,42,99,7,320,1998,352,"7,527",55,-160.733,55 00.08,160 44.01,1
1998,4196,Standard grid,15-Aug-98,19980122,1998,191,"4,636",799,95,6.75,76,69,84,8,250,1998,286,"5,435",58.167,-148.9,58 09.73,148 54.05,1
1998,5001,Standard grid,29-Jun-98,19980401,1998,126,"2,771",335,38,6.89,48,46,99,7,290,1998,164,"3,106",56,-153.6,56 01.02,153 36.02,1
1998,5244,Standard grid,6-Aug-98,19981019,1998,106,"1,984","1,007",123,6.89,67,63,99,7,290,1998,229,"2,991",55.833,-155.117,55 50.71,155 06.30,1
1998,5015,Standard grid,25-Jun-98,19980396,1998,101,"2,149",578,67,5.9,51,47,100,6,290,1998,168,"2,727",56.333,-153.85,56 20.04,153 51.31,1
1998,2153,Standard grid,9-Jun-98,19981264,1998,7,89,268,38,6.42,43,37,81,8,132,1998,45,358,54.167,-132,54 09.73,132 01.63,1
1998,5176,Standard grid,10-Jun-98,19980555,1998,132,"2,649","1,061",134,6.89,67,54,99,7,310,1998,266,"3,709",55.5,-158.983,55 29.93,158 59.50,1
1998,4292,Standard grid,10-Aug-98,19981123,1998,92,"2,258",183,21,7.03,46,30,100,7,280,1998,113,"2,441",56.5,-153.15,56 29.93,153 09.02,1
1998,5215,Standard grid,15-Jul-98,19980609,1998,156,"3,023",544,69,6.96,57,53,99,7,340,1998,225,"3,567",54.5,-163.583,54 29.95,163 35.11,1
1998,4243,Standard grid,30-Jul-98,19980466,1998,39,"1,150",127,14,6.89,53,52,99,7,270,1998,53,"1,277",57.5,-150.767,57 29.96,150 45.97,1
1998,4178,Standard grid,25-Jul-98,19980680,1998,46,"1,233","1,178",169,6.42,54,50,80,8,240,1998,215,"2,411",59.5,-148.55,59 30.04,148 32.99,1
1998,4320,Standard grid,27-Aug-98,19981140,1998,69,"1,626",513,63,7.03,51,50,100,7,270,1998,132,"2,139",57.333,-151.067,57 20.10,151 04.03,1
1998,4265,Standard grid,4-Aug-98,19980471,1998,24,465,265,31,6.68,45,40,98,7,270,1998,55,730,58,-151.417,57 59.98,151 25.12,1
1998,5119,Standard grid,2-Aug-98,19980519,1998,75,"1,887","1,594",226,7.03,53,51,100,7,310,1998,301,"3,481",55.5,-157.517,55 29.93,157 31.00,1
1998,4367,Standard grid,1-Jul-98,19981069,1998,64,"1,137","1,266",160,6.89,42,40,98,7,261,1998,224,"2,404",59.333,-152.467,59 20.18,152 27.62,1
1998,5217,Standard grid,15-Jul-98,19980611,1998,114,"1,911",624,81,7.03,58,44,100,7,340,1998,195,"2,536",54.5,-164.167,54 29.98,164 10.09,1
1998,4317,Standard grid,19-Aug-98,19981133,1998,85,"2,662",265,32,7.03,39,37,100,7,270,1998,117,"2,927",57.167,-151.983,57 09.94,151 59.19,1
1998,5009,Standard grid,30-Jun-98,19980403,1998,82,"1,898",489,61,6.89,66,64,98,7,290,1998,143,"2,387",56.167,-154.183,56 10.04,154 11.02,1
1998,4206,Standard grid,21-Aug-98,19980135,1998,45,886,462,53,6.75,32,28,84,8,260,1998,98,"1,347",58.333,-150.483,58 20.66,150 29.26,1
1998,5134,Standard grid,21-Jul-98,19980494,1998,233,"5,914",826,105,6.96,65,59,99,7,310,1998,338,"6,740",55.833,-158.383,55 50.02,158 23.04,1
1998,4249,Standard grid,23-Jul-98,19980445,1998,68,"1,405",277,32,6.96,36,35,99,7,270,1998,100,"1,682",57.667,-151.4,57 40.01,151 23.77,1
1998,4199,Standard grid,22-Aug-98,19980137,1998,166,"2,960","1,289",147,6.59,101,72,83,8,260,1998,313,"4,249",58.167,-149.85,58 09.59,149 51.73,1
1998,5226,Standard grid,8-Jul-98,19980596,1998,202,"3,722","1,234",161,6.96,59,53,99,7,330,1998,363,"4,956",54.833,-161.017,54 50.00,161 01.05,1
1998,5225,Standard grid,9-Jul-98,19980597,1998,217,"3,973",407,50,7.03,58,52,100,7,320,1998,267,"4,379",54.833,-160.733,54 49.98,160 43.95,1
1998,3051,Standard grid,17-Jun-98,19980717,1998,32,"1,534",434,58,6.67,52,50,83,8,151,1998,90,"1,968",55.5,-134.017,55 30.12,134 00.99,1
1998,5195,Standard grid,10-Jul-98,19980602,1998,140,"3,165",971,117,7.03,68,68,100,7,330,1998,257,"4,136",54.333,-160.433,54 19.94,160 26.01,1
1998,5246,Standard grid,11-Aug-98,19981035,1998,198,"4,837",735,88,6.96,59,50,100,7,300,1998,286,"5,571",55.833,-156.017,55 50.11,156 01.01,1
1998,5131,Standard grid,4-Aug-98,19980525,1998,131,"2,326",810,102,7.03,59,53,100,7,300,1998,233,"3,136",55.833,-157.5,55 50.12,157 30.00,1
1998,5168,Standard grid,11-Jun-98,19980560,1998,41,"1,007",235,29,2.01,79,52,100,2,310,1998,70,"1,242",55.167,-158.983,55 09.99,158 59.06,1
1998,4248,Standard grid,23-Jul-98,19980446,1998,48,895,194,21,7.03,42,39,100,7,270,1998,69,"1,088",57.667,-151.083,57 40.03,151 04.78,1
1998,5201,Standard grid,21-Jul-98,19980620,1998,260,"10,416",833,103,7.03,32,31,100,7,330,1998,363,"11,248",54.333,-162.15,54 19.90,162 09.00,1
1998,2079,Standard grid,18-Jul-98,19981514,1998,34,469,715,83,6.59,71,45,83,8,102,1998,117,"1,185",51.833,-128.7,51 49.70,128 41.80,1
1998,5149,Standard grid,29-Jun-98,19980576,1998,197,"4,317",950,115,6.75,41,40,96,7,320,1998,312,"5,267",54.667,-159.283,54 39.98,159 17.05,1
1998,4195,Standard grid,15-Aug-98,19980124,1998,309,"7,597",787,88,6.75,83,74,84,8,250,1998,397,"8,384",58,-149.217,58 00.20,149 13.25,1
1998,5161,Standard grid,13-Jun-98,19980565,1998,182,"3,622",777,97,6.89,76,67,98,7,310,1998,279,"4,399",55,-158.7,54 59.97,158 42.00,1
1998,5100,Standard grid,25-Jul-98,19980504,1998,182,"4,051",699,82,6.96,49,45,99,7,310,1998,264,"4,749",55,-157.833,54 59.55,157 49.98,1
1998,5198,Standard grid,25-Jul-98,19980631,1998,271,"5,366","1,004",116,7.03,63,56,100,7,330,1998,387,"6,370",54.333,-161.283,54 20.04,161 16.95,1
1998,5197,Standard grid,26-Jul-98,19980635,1998,84,"1,314",802,100,7.03,79,68,100,7,330,1998,184,"2,116",54.333,-161,54 19.93,160 59.98,1
1998,4228,Standard grid,4-Sep-98,19980149,1998,105,"2,119","1,081",133,6.75,62,54,84,8,260,1998,238,"3,201",58.833,-151.467,58 49.77,151 27.53,1
1998,4238,Standard grid,3-Sep-98,19980146,1998,144,"2,774",376,42,4.28,42,22,83,5,260,1998,186,"3,150",59.167,-151.15,59 10.03,151 08.96,1
1998,4035,Standard grid,27-Jun-98,19980230,1998,108,"3,677",514,67,6.83,105,103,85,8,200,1998,175,"4,191",58.667,-140.017,58 40.02,140 00.98,1
1998,2159,Standard grid,7-Jun-98,19981261,1998,24,305,"1,010",126,6.59,48,35,82,8,133,1998,150,"1,315",54.333,-131.15,54 19.89,131 08.77,1
1998,4362,Standard grid,1-Jul-98,19981070,1998,118,"1,609","2,278",287,6.96,61,48,99,7,261,1998,405,"3,887",59.167,-152.45,59 10.27,152 27.21,1
1998,5266,Standard grid,17-Aug-98,19981046,1998,130,"4,290",597,75,7.03,57,33,100,7,300,1998,205,"4,886",56.333,-157.467,56 20.14,157 27.85,1
1998,5018,Standard grid,4-Jul-98,19980414,1998,22,694,229,27,7.03,26,24,100,7,290,1998,49,923,56.333,-155.367,56 20.03,155 21.96,1
1998,5209,Standard grid,25-Jul-98,19980630,1998,82,"1,518",761,100,7.03,69,63,100,7,330,1998,182,"2,279",54.5,-161.3,54 30.01,161 17.96,1
1998,4327,Standard grid,3-Sep-98,19981151,1998,112,"1,983",583,67,6.96,75,46,99,7,270,1998,179,"2,566",57.5,-151.7,57 29.94,151 42.03,1
1998,5143,Standard grid,29-Jun-98,19980578,1998,273,"5,988",563,65,6.96,64,61,100,7,320,1998,338,"6,551",54.5,-159.567,54 29.97,159 33.95,1
1998,4307,Standard grid,15-Aug-98,19981129,1998,158,"3,934",352,40,7.1,60,43,101,7,280,1998,198,"4,286",56.833,-153.183,56 50.10,153 10.98,1
1998,5011,Standard grid,1-Jul-98,19980408,1998,45,996,763,95,6.89,50,38,99,7,290,1998,140,"1,759",56.167,-154.783,56 10.04,154 46.67,1
1998,5148,Standard grid,20-Jun-98,19980571,1998,289,"6,795",833,101,7.1,51,48,101,7,320,1998,390,"7,628",54.667,-159,54 39.98,159 00.01,1
1998,4286,Standard grid,2-Aug-98,19981115,1998,230,"6,810",496,61,7.03,70,42,100,7,280,1998,291,"7,305",56.333,-152.833,56 20.23,152 50.78,1
1998,5250,Standard grid,12-Aug-98,19981036,1998,40,"1,008",396,51,6.96,27,22,99,7,300,1998,91,"1,405",56,-155.7,56 00.56,155 41.49,1
1998,5264,Standard grid,18-Aug-98,19981050,1998,112,"3,362",331,40,6.82,68,57,98,7,300,1998,152,"3,693",56.333,-156.867,56 20.08,156 52.13,1
1998,5251,Standard grid,12-Aug-98,19981037,1998,59,"1,645",240,30,7.03,56,38,100,7,300,1998,89,"1,885",56,-156,56 00.03,156 00.38,1
1998,5204,Standard grid,16-Jul-98,19980613,1998,104,"1,885",371,48,7.03,63,62,100,7,340,1998,152,"2,256",54.333,-163.85,54 19.96,163 50.94,1
1998,5177,Standard grid,2-Jun-98,19980547,1998,95,"2,045",559,69,6.96,69,66,99,7,320,1998,164,"2,604",55.5,-159.283,55 29.98,159 17.12,1
1998,4318,Standard grid,19-Aug-98,19981134,1998,54,"1,344",214,27,6.89,45,42,98,7,280,1998,81,"1,558",57.167,-152.3,57 10.08,152 17.99,1
1998,4234,Standard grid,3-Sep-98,19980148,1998,148,"3,191",777,99,6.59,76,57,82,8,260,1998,247,"3,968",59,-151.467,58 59.64,151 28.13,1
1998,4207,Standard grid,13-Aug-98,19980118,1998,213,"5,262",734,89,6.67,101,67,83,8,250,1998,302,"5,997",58.5,-148.567,58 29.79,148 33.86,1
1998,5240,Standard grid,7-Aug-98,19981021,1998,81,"1,878",887,111,6.96,66,62,100,7,300,1998,192,"2,765",55.667,-155.733,55 40.45,155 44.14,1
1998,5147,Standard grid,20-Jun-98,19980570,1998,297,"6,053",619,68,6.89,58,56,99,7,320,1998,365,"6,672",54.667,-158.7,54 39.87,158 42.03,1
1998,4321,Standard grid,27-Aug-98,19981143,1998,236,"4,645",689,75,6.89,75,71,98,7,270,1998,311,"5,335",57.333,-151.383,57 20.05,151 23.07,1
1998,5099,Standard grid,31-Jul-98,19980513,1998,228,"6,345",881,104,6.96,55,52,99,7,310,1998,332,"7,226",55,-157.533,54 59.70,157 31.98,1
1998,4266,Standard grid,5-Aug-98,19980474,1998,49,"1,091",225,27,6.75,72,60,98,7,270,1998,76,"1,316",58,-151.733,58 00.03,151 44.24,1
1998,5145,Standard grid,30-Jun-98,19980580,1998,99,"1,903",322,42,7.03,68,64,100,7,320,1998,141,"2,225",54.5,-160.15,54 30.00,160 08.87,1
1998,4315,Standard grid,27-Aug-98,19981142,1998,94,"1,938",493,56,7.03,71,69,100,7,270,1998,150,"2,431",57.167,-151.367,57 10.03,151 21.95,1
1998,6044,Standard grid,7-Aug-98,19980902,1998,148,"2,898","1,703",226,6.96,48,46,99,7,360,1998,374,"4,601",53.667,-166.067,53 39.94,166 04.11,1
1998,5135,Standard grid,4-Aug-98,19980524,1998,83,"2,060",268,33,7.03,62,56,100,7,300,1998,116,"2,328",56,-157.483,55 59.99,157 29.00,1
1998,4231,Standard grid,8-Sep-98,19980155,1998,117,"2,099","1,197",144,6.59,67,66,82,8,260,1998,261,"3,296",59,-150.5,58 59.88,150 30.02,1
1998,5045,Standard grid,11-Jul-98,19980425,1998,185,"4,371",114,14,7.03,79,46,101,7,290,1998,199,"4,485",57.333,-155.867,57 19.95,155 52.48,1
1998,5221,Standard grid,8-Jul-98,19980594,1998,188,"3,768",638,73,7.03,80,73,100,7,330,1998,261,"4,406",54.667,-161.3,54 40.01,161 18.08,1
1998,6059,Standard grid,12-Aug-98,19980919,1998,120,"2,127",444,53,6.96,54,53,99,7,350,1998,173,"2,571",54,-164.667,54 00.07,164 39.94,1
1998,4024,Standard grid,5-Jul-98,19980245,1998,62,"1,763",559,72,6.75,64,63,84,8,190,1998,134,"2,321",58.5,-138.433,58 30.04,138 25.84,1
1998,3024,Standard grid,27-Jun-98,19981171,1998,75,"1,309","1,139",141,7.03,70,58,100,7,141,1998,216,"2,448",54.833,-133.433,54 50.08,133 25.97,1
1998,5128,Standard grid,21-Jul-98,19980495,1998,188,"4,049",526,60,7.03,72,70,100,7,300,1998,248,"4,575",55.667,-158.383,55 40.05,158 23.00,1
1998,5249,Standard grid,10-Aug-98,19981032,1998,96,"2,251",134,16,6.39,80,58,97,7,300,1998,112,"2,385",55.833,-156.9,55 49.98,156 54.14,1
1998,4012,Standard grid,7-Jul-98,19980253,1998,115,"3,688",764,87,6.75,113,91,84,8,190,1998,202,"4,452",58.167,-138.767,58 10.01,138 45.92,1
1998,6043,Standard grid,14-Aug-98,19980925,1998,90,"1,366",446,56,6.82,73,68,97,7,350,1998,146,"1,812",53.667,-165.783,53 40.17,165 47.08,1
